Post_ID,User_ID,Secret,Server,Title,Is_Public,Is_Friend,Is_Family,Farm,City,Country,Post_Date,Taken_Date,Tags,Latitude,Longitude,Description,Min_Taken_Date
51983324553,149818313@N06,a96b41803c,65535,20220401_103427_01869_lr,1,0,0,66,brisbane,australia,2022-04-05 02:58:10,2022-04-01 10:34:27,"goldcoast,queensland,australia,",-27.908439,153.318297,NaN,2022-04-01 00:00:00
41712315344,24576031@N04,46ec0c3563,889,prov 1 mens uwa vs freo_ (110),1,0,0,1,rockingham,australia,2018-05-29 17:14:17,2018-05-26 15:08:44,"mens,provisional1,uwavsfremantle,superturf,universityofwesternaustraliahockeyclub,may,26,2018,",-31.953218,115.78592,NaN,2018-05-26 00:00:00
46920045785,19111040@N00,24ab3140c4,65535,20190504_102530,1,0,0,66,adelaide,australia,2019-05-04 00:55:30,2019-05-04 10:25:30,"file:md5sum=7ac49a4aca945e594dc6183b2f589c59,file:sha1sig=52e6078317ba79ff3103f07c94e90a46569da60e,",-34.9275,138.6,"uploaded with https://play.google.com/store/apps/details?id=com.gmail.walles.johan.flickruploader2  noreferrer nofollow uploader for flickr for android",2019-05-04 00:00:00
53037486174,127449591@N07,f87204a78f,65535,610_7892,1,0,0,66,brisbane,australia,2023-07-11 00:15:12,2023-04-30 12:13:05,"showandshine,steamfest,steamfest2023,cars,loxpix,l0xpix,loxwerx,loxflix,australia,maitland,nsw,hotrod,bringbackpicasa,",-32.740464,151.555322,show and shine at the 2023 steamfest,2023-04-29 00:00:00
50043651492,76039553@N03,e72f4de2db,65535,fractured_forest hill 25june2020,1,0,0,66,NaN,NaN,2020-06-25 10:53:52,2020-06-25 09:48:08,NaN,-35.149371,147.467969,"https://www.bookcrossing.com/journal/14922093  noreferrer nofollow www.bookcrossing.com/journal/14922093",2020-06-25 00:00:00
51688881559,149818313@N06,f7a6ee6340,65535,20211118_154744_06622_lr-s1,1,0,0,66,brisbane,australia,2021-11-18 12:32:57,2021-11-18 15:47:44,"brisbane,queensland,australia,",-27.480645,153.024858,NaN,2021-11-18 00:00:00
52482926226,54476947@N08,7988141ce2,65535,"s312, p17, s317 'jenny molloy', p18 9198",1,0,0,66,NaN,NaN,2022-11-07 06:45:25,2022-11-05 19:32:57,"victoria,australia,",-36.863492,143.729411,"9198 ssr loaded grain from nullawil to appleton dock with s312 leading p17, s317 and p18 is on the crawl through dunolly in some great evening light on the 5/11/22.

video available at: https://youtu.be/o7we2fpc75y  noreferrer nofollow youtu.be/o7we2fpc75y",2022-11-05 00:00:00
52929209235,54476947@N08,9ff414bb1a,65535,a66,1,0,0,66,NaN,NaN,2023-05-27 06:21:40,2023-05-26 13:24:54,"castlemaine,victoria,australia,",-37.063862,144.213561,"v/line's a66 shunts back from vgr metals to the mainline to form 0096 back to melbourne on the 26/5/23.

video available at: https://youtu.be/1fiahorm7qi  noreferrer nofollow youtu.be/1fiahorm7qi",2023-05-26 00:00:00
50670765813,185568162@N05,b7f0a157c3,65535,"pentax espio 160, vellvia 100, local, november 2020",1,0,0,66,NaN,NaN,2020-12-02 10:24:12,2020-12-02 02:23:56,"local,november2020,pentaxespio160,vellvia100,",-32.045412,115.861451,"pentax espio 160, vellvia 100, local, november 2020",2020-12-01 00:00:00
49541186857,98292463@N00,653c67a0dc,65535,team navy asrl 2020,1,0,0,66,NaN,australia,2020-02-16 03:47:41,2020-02-15 11:13:20,"teamnavyasrl,navyasrl,2020,asrlopen,day2,february,longbeach,mollymook,teamnavy,action,australia,boats,competition,nsw,ocean,open,pacific,rowers,rowing,sea,southcoast,surf,surfrowersleague,water,",-35.703781,150.223531,day 2 - open competition at long beach nsw,2020-02-15 00:00:00
49093752578,39142134@N03,ce5978d9e6,65535,red sand sunset,1,0,0,66,NaN,NaN,2019-11-20 09:55:27,2019-11-20 20:50:35,NaN,-25.336695,131.005482,at uluru nt,2019-11-20 00:00:00
51394746019,149818313@N06,4a05a7fcc9,65535,20210821_130044_00147_lr,1,0,0,66,brisbane,australia,2021-08-22 06:47:23,2021-08-21 13:00:44,"brisbane,queensland,australia,",-27.468848,153.023986,NaN,2021-08-21 00:00:00
42677489252,10104652@N06,79488a9a92,1760,australian model expo 2018,1,0,0,2,NaN,NaN,2018-06-11 04:13:31,2018-06-11 12:56:06,NaN,-37.953056,145.163611,NaN,2018-06-10 00:00:00
46340760362,10032596@N00,20f1764586,4844,australia - kangaroo island,1,0,0,5,bilbao,basque country - euskal herria - euskadi,2018-12-20 09:36:33,2018-09-27 03:31:11,"australia,kangarooisland,isladelcanguro,parndanawildlifepark,",-35.788242,136.893768,visita al parndana wildlife park.,2018-09-26 00:00:00
51237633874,89165847@N00,d8c712e02c,65535,pelican swim-by,1,0,0,66,adelaide,australia,2021-06-09 23:05:14,2021-01-19 14:27:57,"meningie,lakealbert,pelicans,reeds,southaustralia,swimming,",-35.689012,139.332338,                               ,2021-01-19 00:00:00
45045567894,27120829@N06,9c7380c057,4863,dji_0354-hdr,1,0,0,5,NaN,NaN,2018-11-07 20:36:43,2018-10-30 17:07:09,NaN,-26.683637,152.901388,NaN,2018-10-30 00:00:00
44610501090,102237062@N02,b7ce4b9246,4834,20181209-165932_bees_d7100_9855.jpg,1,0,0,5,sydney,NaN,2018-12-23 05:01:33,2018-12-09 16:59:32,"kirrawee,macro,flowers,plants,newsouthwales,insects,bees,arthropods,australia,sydney,au,",-34.035375,151.067202,NaN,2018-12-09 00:00:00
51915268684,78063402@N00,45563aa1e0,65535,looking for the silver lining,1,0,0,66,melbourne,australia,2022-03-03 04:01:10,2022-03-03 08:15:49,"silverlining,purpleswamphen,inflight,bunurong,braeside,",-38.004461,145.124802,"early morning walks are good for my body and soul. the birds are busy as usual and this purple swamphen has just decided to fly over the pond.

(porphyrio porphyrio)",2022-03-03 00:00:00
53179747708,60791034@N04,f1130c36c8,65535,alamein buffer stop,1,0,0,66,NaN,NaN,2023-09-11 05:42:17,2023-09-10 09:46:10,NaN,-37.86906,145.079437,"the end of the line at alamein looking back towards the station.
10th september 2023.",2023-09-10 00:00:00
40121503743,7200693@N04,224d73396a,7881,australasian grebe,1,0,0,8,NaN,NaN,2019-02-13 22:13:22,2019-01-01 16:41:00,"australasian,grebe,adult,eynesbury,ornamental,lake,melton,victoria,australia,january,2019,bird,",-37.789475,144.564414,"adult at eynesbury ornamental lake, melton, victoria, australia, 2 jan 2019",2019-01-01 00:00:00
52941673905,127449591@N07,e2dd2e406d,65535,80w_4461,1,0,0,66,brisbane,australia,2023-05-31 22:11:30,2023-04-29 16:11:37,"loxpix,l0xpix,loxwerx,loxflix,bringbackpicasa,australia,nsw,scenery,newcastle,mayfield,east,railway,train,dieselelectric,loco,8201,xrn024,xrn007,xrn002,8242,8139,8123,8143,xrn018,8128,portwaratahloop,trainspotting,dieselelectricloco,pacificnational,geneseewyomingaustralia,",-32.903317,151.753469,trainspotting from the industrial drive overpass/port waratah loop in newcastle nsw,2023-04-29 00:00:00
49034951543,19111040@N00,1b7afd1d06,65535,20191108_201349,1,0,0,66,adelaide,australia,2019-11-08 22:36:34,2019-11-08 20:13:49,NaN,-34.933334,138.595277,NaN,2019-11-08 00:00:00
46415969182,46998573@N00,d827d1c78c,4865,20181224_164802,1,0,0,5,melbourne,australia,2018-12-26 04:25:33,2018-12-24 16:48:02,"australia,",-29.686667,135.133611,NaN,2018-12-24 00:00:00
46441119081,49333819@N00,bb9c8b3d43,4816,"not the safest beach in the area, and the blowhole isn't mentioned",1,0,0,5,lake macquarie,australia,2018-12-24 05:31:03,2018-12-21 07:21:39,"dudley,nsw,lakemacquarie,australia,coast,coastforest,bushwalk,banksiastreetfiretrail,sign,dangersign,beachsign,warning,",-32.981414,151.727092,eos3 0670,2018-12-20 00:00:00
53548273646,54511827@N00,c4ec1a54a6,65535,img_20231001_120533,1,0,0,66,NaN,NaN,2024-02-24 03:28:24,2023-10-01 12:05:34,"sa,roadtrip,south,australia,caravanlife,",-32.171559,138.008652,NaN,2023-09-30 00:00:00
43716572380,127449591@N07,ae58b59642,1901,800_5703,1,0,0,2,brisbane,australia,2018-10-24 10:34:25,2018-10-14 10:19:17,"cootamundrarail,cootamundra,cootamundrarailwaystation,australia,loxpix,railway,rail,countryrailwaystation,railwaystation,locomotive,diesellocomotive,dieselelectric,loco,locomotiveturntable,nsw,loxworx,loxwerx,l0xpix,loxpixrandomrailway,randomrailway,",-34.641788,148.029956,NaN,2018-10-14 00:00:00
51188263870,28095618@N00,30d713d40a,65535,robe-2020t.jpg,1,0,0,66,NaN,NaN,2021-05-18 13:31:03,2020-07-22 17:10:35,"robe,australia,southaustralia,",-37.15932,139.752752,"robe, sa, australia
22 july 2020  [103-3828]",2020-07-22 00:00:00
39773218491,33598796@N08,c2c9f08af4,4616,img_7385 - img_7387,1,0,0,5,sydney,australia,2018-01-19 05:09:03,2018-01-17 19:20:13,NaN,-34.872851,147.586394,NaN,2018-01-17 00:00:00
48581575051,37608373@N02,3c188629ce,65535,children's book week storytime - success - 200819 (11),1,0,0,66,NaN,NaN,2019-08-20 04:18:23,2019-08-20 10:14:17,"childrensbookweek,cbca2019,childrensbookweek2019,successlibrary,storytime,",-32.129762,115.852897,photos from the children's book week dress-up storytime at success library on tuesday 20 august 2019.,2019-08-20 00:00:00
51162796761,60988113@N06,b7f9e8aab8,65535,eat mii,1,0,0,66,brisbane,australia,2021-05-07 05:19:21,2021-04-24 11:32:44,NaN,-27.481623,153.011913,in west end,2021-04-24 00:00:00
